Company,Position,Date Applied,Status,Job Nature,Job Type,Company Location,Job Link,Source / Portal,How Applied,Resume Version,Resume URL,Salary Min,Salary Max,Currency,Priority,Follow-up Date,Comments,Tags
Karaz Platform,Frontend Developer (Next.js),2026-08-23,APPLIED,FULL_TIME,REMOTE,,,,,,,500,500,USD,3,,"Job posted 07/14/2025, remote, USD-based salary (negotiable). Requires React, Next.js, JS/HTML/CSS, Git, TypeScript, Tailwind CSS, frontend testing/perf optimization. Listed as 5+ years exp (Junior to Senior range). My salary expectation: $500 USD/month.",
Karaz Platform,Frontend Developer (Next.js),2026-08-23,APPLIED,FULL_TIME,REMOTE,"Riyadh, Saudi Arabia (Remote)",,,,,,,,USD,3,,"Remote, USD-based salary. HealthTech (diabetes/CGM platform). Requirements: React/Next.js, JS/HTML/CSS, TypeScript, Tailwind, Git, frontend testing & performance optimization. Listed as Junior to Senior but posting states 5+ years experience.",
Go Plane Private Limited,Mid-Level Full-Stack Developer,2026-08-22,APPLIED,FULL_TIME,,"Dhaka, Bangladesh",,,,,,,,USD,3,,"Applied via email to goplaneltd@gmail.com. OTA (travel) platform. Skills: Node.js/Next.js, React.js, REST API + third-party API integration, MySQL/PostgreSQL, Git/GitHub, debugging/testing/deployment. Travel/OTA experience a plus.",
Make Hub,Full Stack Developer,2026-08-22,APPLIED,FULL_TIME,ONSITE,"Rajshahi, Bangladesh",,,,,,30000,60000,BDT,3,,"Applied via email to hr@makehub.com.bd. Requires React/Next.js/Node/Express, TypeScript, Prisma/Drizzle, Redux Toolkit, strong AI-assisted dev skills. Min 2 years experience, 6 days/week onsite.",
TIME DIGITALS PVT LTD,MERN Stack Developer (Next.js),2026-08-22,APPLIED,FULL_TIME,REMOTE,,https://timedigitals.com/careers,,,,,,,USD,3,,"Applied via email to hr@timedigitals.com with CV/portfolio. Requires 1-2 years experience. Stack: MongoDB, Express.js, React.js, Node.js, Next.js, REST APIs, auth, Git/GitHub.",
NafiaTech,MERN Stack Developer Intern,2026-08-22,APPLIED,INTERNSHIP,REMOTE,,https://forms.gle/Upzu8f95BLY1UqhWA,,,,,,,USD,3,,"Applied via Google form. 100% remote internship — offers mentorship, certificate on completion, and potential long-term collaboration based on performance. Stack: HTML/CSS/JS, React, Node/Express, MongoDB, REST API, Git.",
Discount Building Materials (AU),Software Developer,2026-08-22,APPLIED,FULL_TIME,ONSITE,"Metro Manila, Philippines",https://docs.google.com/forms/d/e/1FAIpQLSelsx_SAT52yhd5f-hDpk4gNlAMoG-8C-xOGHi-lEZUt8YZkA/viewform?usp=header,,,,,,,USD,3,,"Applied via Google form. Note: this is ONSITE in Metro Manila, Philippines (not remote) — applicants must already be based there or willing to relocate. Australian company, international clients.",
Psychable,Senior Full Stack Developer (Next.js/MongoDB),2026-08-22,APPLIED,PART_TIME,REMOTE,,https://to.indeed.com/aastkqpg697m,,,,,2000,3000,USD,3,2026-08-29,"Applied via Indeed. Health/wellness marketplace, Next.js + MongoDB stack. Pay listed as $2,000-$3,000/month.",
Lief,Full Stack Web Developer,2026-08-22,APPLIED,FULL_TIME,REMOTE,,https://to.indeed.com/aalrmxrg6vkt,,,,,,,USD,3,2026-08-29,Applied via Indeed listing. Stack: Next.js/Prisma/PostgreSQL/GraphQL match.,
the gud agency,Full Stack Developer,2026-08-22,APPLIED,FULL_TIME,REMOTE,,https://to.indeed.com/aa6cj8zdwby4,,,,,650,2000,USD,3,2026-08-29,"Applied via Indeed. Pay listed as $650-$2,000/month.",
2026-08-28T02:23:26.018Z,6a88725ba01b079d48660890,PROOF Final,Range + JWT Both Fixed,APPLIED,2026-08-28,,,,,,,,,USD,,,,
2026-08-28T02:28:24.367Z,6a88725ba01b079d48660890,Curl Verify,Fresh Test,APPLIED,2026-08-28,,,,,,,,,USD,,,,
